Hash, Lex_pos, Lex_foreign, Trad_char, Trad_syll, Trad_poly
29518791213515431458732296753956758080977186791929996554840206586095735320939,PRS,,,,
68592832286865943432575353474433518042367738050635698496806676252105788431032,DTP,,,,
115257841238604836393056512161923294893669488844849306051369525085371962287355,NNP,,,,
7242951236867709078008456576044772726903848639994601848790431121885160386844,NNP,,,,
84144882199125570777300295097270028488309306808868282799500170594184851318520,DTC,,,,
115564960895844800517046558146249763399306624407811224057475164529543276402794,PRSP_CCP,,,,
69340894652239209092729637133791938101917972985098824208632371977590868097908,NNC,,,,
